form field,model inputs changed,max |dP|
EXT_SOURCE_3,9,5.006
EXT_SOURCE_1,9,4.43
EXT_SOURCE_2,9,3.251
AMT_ANNUITY,3,2.775
NAME_FAMILY_STATUS,1,2.622
AMT_CREDIT,5,1.928
AMT_GOODS_PRICE,4,1.49
DAYS_EMPLOYED,5,1.217
DAYS_BIRTH,5,0.883
OCCUPATION_TYPE,1,0.247
AMT_INCOME_TOTAL,6,0.224
NAME_INCOME_TYPE,1,0.12
CNT_FAM_MEMBERS,1,0.092
NAME_EDUCATION_TYPE,1,0.029
CODE_GENDER,1,0.029
CNT_CHILDREN,1,0.003
DAYS_EMPLOYED_ANOM,0,0.0
NAME_HOUSING_TYPE,0,0.0
NAME_CONTRACT_TYPE,0,0.0
FLAG_OWN_CAR,0,0.0
FLAG_OWN_REALTY,0,0.0
