feature,gain,split
EXT_SOURCES_MEAN,592354.6338695526,514.4
ORGANIZATION_TYPE,267931.69344062806,4989.2
EXT_SOURCES_WEIGHTED,107122.9425485611,260.4
EXT_SOURCES_MIN,98160.66162567139,338.0
CREDIT_TERM,52729.626375579835,693.2
EXT_SOURCES_MAX,45481.357367403805,210.4
OCCUPATION_TYPE,38816.53848876953,589.2
EXT_SOURCE_2_X_EMPLOYED,33576.884803962705,248.6
INS_2Y_DPD_MEAN,32587.95182209015,184.4
PREV_DAYS_LAST_DUE_1ST_VERSION_MAX,32555.652938461302,444.0
BURO_ACTIVE_BUREAU_DEBT_CREDIT_RATIO_MAX,31304.66472091675,235.4
CREDIT_MINUS_GOODS,30688.40729942322,328.0
CC_RECENT_UTILIZATION_MAX,30236.40198173523,155.8
CREDIT_GOODS_RATIO,28646.05163192749,223.6
BURO_BUREAU_DEBT_CREDIT_RATIO_MAX,28299.83230934143,185.8
ANNUITY_TO_PREV_ANNUITY,27146.139416885377,316.4
DAYS_BIRTH,25152.46504058838,468.2
EXT_SOURCE_3_X_EMPLOYED,23592.176463317872,251.6
EXT_SOURCE_3_X_AGE,23087.608360672,339.8
BURO_BUREAU_DEBT_CREDIT_RATIO_VAR,22833.352663421632,180.2
CODE_GENDER,21991.754278945922,189.0
AMT_ANNUITY,20076.885555648805,358.0
NAME_EDUCATION_TYPE,19990.115336227416,121.0
PREV_CREDIT_GOODS_RATIO_MEAN,17559.085469436646,158.4
INS_AMT_PAYMENT_SUM,16546.69360809326,199.8
EXT_SOURCES_PROD,16180.86254196167,215.0
EXT_SOURCE_3,16056.149006271362,312.4
EXT_SOURCE_1,15966.5004737854,281.2
AMT_GOODS_PRICE,15632.077421188354,265.8
INS_IS_LATE_MEAN,14428.868585586548,147.0
ANNUITY_INCOME_RATIO,14407.461197280883,258.2
BURO_BUREAU_DEBT_CREDIT_RATIO_MEAN,13988.985362052917,138.8
DAYS_EMPLOYED,13852.598739624023,184.6
PREV_DUE_DIFF_VAR,13738.038958740235,150.4
POS_INSTALMENT_PAID_RATIO_MEAN,13693.453857040406,232.2
INS_2Y_DPD_MAX,13649.099289703368,91.0
EXT_SOURCE_2,13227.235514259339,252.2
BURO_ACTIVE_BUREAU_DEBT_CREDIT_RATIO_MEAN,12995.362815856934,167.4
PREV_NAME_CONTRACT_STATUS_REFUSED_MEAN,12349.820547485351,101.8
INS_2Y_IS_LATE_MEAN,12201.52696094513,99.4
CAR_TO_BIRTH_RATIO,11992.921137428284,195.6
INS_DPD_TREND,11189.279608917237,150.4
CAR_TO_EMPLOY_RATIO,11138.471704864502,178.0
OWN_CAR_AGE,10940.209761047363,148.0
DAYS_ID_PUBLISH,10841.378052520751,256.4
